Framework,Langue,Number of existing rules
Jest,JavaScript/TypeScript,10
Vitest,JavaScript/TypeScript,9
Mocha,JavaScript/TypeScript,8
Chai,JavaScript/TypeScript,10
Playwright,JavaScript/TypeScript,9
Cypress,JavaScript/TypeScript,8
Jasmine,JavaScript/TypeScript,5
Express,JavaScript/TypeScript,32
NestJS,JavaScript/TypeScript,0
React,JavaScript/TypeScript,89
Svelte,JavaScript/TypeScript,0
Angular,JavaScript/TypeScript,17
Vue,JavaScript/TypeScript,4
SolidJS,JavaScript/TypeScript,0
Tailwind,JavaScript/TypeScript,0
PostCSS,JavaScript/TypeScript,0
Requests,Python,5
HTTPX,Python,4
pytest,Python,3
pytest-asyncio,Python,0
pytest-mock,Python,0
FastAPI,Python,18
Flask,Python,25
Django,Python,35
Numpy,Python,11
pandas,Python,11
PyTorch,Python,19
BeautifulSoup,Python,0
